property_name,pType_id,tedadTabaghe,property_size,address,tedadKoleTabaghat,TabagheDarVahed,bedrooms,lowest_price,VaziatBana,Jahat,nama,KafPush,ServiceKitchen,garage,VorudiMoshtarak,long_desc,amenities_id,property_slug,property_code,property_status,house_mortgage,rent,property_thumbnail,short_desc,bathrooms,property_video,latitude,longitude,featured,hot,agent_id,status,foundation_size
286,1,0,159,بلوار اسرافیلیان,,,1,2910000000,بتونی,جنوب شرقی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(ابراهیم پورنمازیان - 1401/4/21)  تسویه شهرداری  کولر - زیرزمین(انباری)  فروش فقط نقدی,6,286,286,buy,0,0,,,,,,,,,1,1,
287,1,0,150,خیابان شریعتی,2,,3,3620000000,نیمه اسکلت,شمالی,اجرنما,موزاییک,MDF,1,1,با کاغذ قیمت(مهدی خانیان-1401/8/26)  با تسویه شهرداری  بالا دو خواب  پایین یک خواب  فروش و معاوضه با زمین قابل ساخت و خوش جا تا یک و پانصد,6,287,287,buy,0,0,,,,,,,,,1,1,
289,5,0,113,خیابان شریعتی,,,,8380000000,1600000000,شمالی,,,,,1,با کاغذ قیمت(مهدی خانیان - 1401/10/11)  بدون فیلم و عکس  با پروانه انباری و دفترکار  همکف تجاری  معاوضه با خانه تا 4 میلیارد یا زمین برای ساخت,6,289,289,buy,0,0,,,,,,,,,1,1,
290,1,0,142,خیابان 17 شهریور,,,,1230000000,کلنگی,شمالی,خشت و گل,موزاییک,فلز,,,با کاغذ قیمت(مهدی خانیان)  با تسویه شهرداری  هواری,6,290,290,buy,0,0,,,,,,,,,1,1,
291,1,0,120,خیابان شریعتی,2,,3,2700000000,بتونی,شمالی,اجرنما,موزاییک,سنگ و فلز,1,1,با کاغذ قیمت(مهدی خانیان-1401/9/3)  با تسویه شهرداری  تانک و پمپ  فقط فروش نقدی,6,291,291,buy,0,0,,,,,,,,,1,1,
292,1,0,116,خیابان منتظری شمالی,2,,3,2430000000,بتونی,شمالی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(مهدی خانیان-1401/10/20)  با تسویه شهرداری   فقط فروش نقدی,6,292,292,buy,0,0,,,,,,,,,1,1,
293,2,0,187,خیابان کشاورز  کوچه اردیبهشت,,,,1760000000,1610000000,جنوبی,,,,,,بدون کاغذ قیمت,6,293,293,buy,0,0,,,,,,,,,1,1,
295,5,0,,خیابان امام,,,,0,783000000,,,,,,1,دو طبقه و هر طبقه هرماه 2 میلیون  مناسب برای انباری,6,295,295,buy,0,0,,,,,,,,,1,1,
296,1,0,,بلوار فجر,,,3,0,2781000000,جنوبی,اجرنما,سرامیک,فلز,1,,طبقه اول - پارکینگ ماشین  شیک و تمیز - ورودی مشترک  پرده - کولر - آیفون تصویری  کمد دیواری در یک اتاق,6,296,296,buy,0,0,,,,,,,,,1,1,
298,1,0,188,خیابان خرم غربی,2,,4,4000000000,بتونی,جنوبی,سنگ,سرامیک,MDF,1,1,بدون کاغذ قیمت  دو خواب پایین   دو خواب بالا  پکیج و رادیات  گچبری و نقاشی  فروش نقدی با تخفیف  معاوضه با زمین قابل ساخت یا آهن آجر در محدوده شمال شهر,6,298,298,buy,0,0,,,,,,,,,1,1,
299,1,0,156,خیابان آیت جنوبی,2,,3,4200000000,اسکلت,غربی,سنگ,سرامیک,MDF,1,1,با کاغذ قیمت(1401/8/24مهدی خانیان)  با تسویه شهرداری  دو خواب بالا  یک خواب پایین  دزدگیر و دوربین  شیک نوساز  فروش نقدی  معاوضه با مورد هواری,6,299,299,buy,0,0,,,,,,,,,1,1,
300,6,2,,خیابان نمازی,,,2,1500000000,بتونی,جنوبی,اجرنما,سرامیک,MDF,1,,با کاغذ قیمت( مهدی خانیان-1401/10/20),6,300,300,buy,0,0,,,,,,,,,1,1,
302,2,0,151,17 شهریورغربی,,,,1600000000,2191000000,شمالی,,,,,,بدون کاغذ قیمت  فروش نقدی,6,302,302,buy,0,0,,,,,,,,,1,1,
303,2,0,150,خیابان مجاهد شمالی,,,,800000000,3250000000,جنوبی,,,,,,بدون کاغذ قیمت  رفیق شهاب ابراهیمی,6,303,303,buy,0,0,,,,,,,,,1,1,
304,2,0,118,خیابان امام رضا,,,,802000000,695500000,جنوبی,,,,,,بدون کاغذ قیمت  متری 6800,6,304,304,buy,0,0,,,,,,,,,1,1,
305,1,0,320,خیابان شریعتی,2,,5,9500000000,3530267000,شمالی جنوبی شرقی,اجرنما,پارکت,MDF,1,1,بدون کاغذ قیمت    دارای دو پذیرایی رسمی و خصوصی ، انباری ، کف پوش پارکت - دارای کولر گازی ، پکیج ، شوفاژ ، آیفون تصویری - بر کوچه 10 متری و ۸متری  ,6,305,305,buy,0,0,,,,,,,,,1,1,
306,2,0,280,بلوار ایزدی,,,,1610000000,665700000,شمالی,,,,,,با کاغذ قیمت(مهدی خانیان-1401/4/11)  دو پلاک به ابعاد 20*7  اختصاصی با درب,6,306,306,buy,0,0,,,,,,,,,1,1,
307,2,0,969,کمربندی جنوبی,,,,1140000000,887765000,شمالی,,,,,,با کاغذ قیمت(مهدی خانیان-1401/3/17)  15دقیقه آب لوله کشی  دیوارکشی و آب چاه  معاوضه با آپارتمان یا فروش نقد,6,307,307,buy,0,0,,,,,,,,,1,1,
308,2,0,195,بلوار ولیعصر,,,,783000000,6367000000,جنوبی,,,,,,با کاغذ قیمت(مهدی خانیان-1401/3/22)  بن بست 8 متری واختصاصی  ,6,308,308,buy,0,0,,,,,,,,,1,1,
311,2,0,189,بلوار فجر,,,,1320000000,1319500000,جنوبی,,,,,,با کاغذ قیمت(مرتضی خانیان-1401/3/16)  فروش نقد یا معاوضه با منزل,6,311,311,buy,0,0,,,,,,,,,1,1,
312,2,0,560,خیابان کلوپ سمندری,,,,3750000000,1125000000,جنوبی,,,,,,با کاغذ قیمت(ابراهیم پورنمازیان-1400/6/25)  فروش با قیمت کارشناسی به روز  آقای یزدانی(داماد خانواده-09136552985),6,312,312,buy,0,0,,,,,,,,,1,1,
313,5,0,,خیابان شهدا,,,,0,بتونی,غربی,,,,,,امتیازات کامل  سرویس بهداشتی  شیک و نوساز,6,313,313,buy,0,0,,,,,,,,,1,1,
314,2,0,241,خیابان رضایی شمالی,,,,2900000000,2743103000,جنوبی,,,,,,بدون کاغذ قیمت  با پروانه یک طبقه  معاوضه با منزل تا 4200  بهزاد سلیمانی قیمت کرده,6,314,314,buy,0,0,,,,,,,,,1,1,
315,1,0,173,خیابان نمازی,2,,3,4100000000,بتونی,جنوبی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(بهزاد سلیمانی-1401/8/16)  تسویه شهرداری-کمد دیواری  تانک و پمپ  دو خواب بالا  یک خواب پایین  معاوضه با منزل در ویلاشهر یا بلوار ولی عصر  یک میلیارد سر بگیرند,6,315,315,buy,0,0,,,,,,,,,1,1,
316,1,0,198,خیابان منتظری شمالی,2,,4,4920000000,بتونی,شمالی,اجرنما,سرامیک,MDF,1,1,با کاغذ قیمت(مهدی خانیان-1401/10/28)  با تسویه شهرداری  تانک و پمپ و 2 کولرگازی  معاوضه با منزل نوساز  دو خواب پایین  دو خواب بالا,6,316,316,buy,0,0,,,,,,,,,1,1,
317,5,0,37,17 شهریور غربی,,,,6360000000,2783750000,شمالی,اجرنما,موزاییک,,,1,با کاغذ قیمت(مهدی پورنمازیان-1401/3/28)  کولر-درب کرکره و سکوریت  معاوضه با منزل تا 4 میلیارد  بدون عکس و فیلم,6,317,317,buy,0,0,,,,,,,,,1,1,
320,1,0,247,خیابان محمد رسول الله,,,3,3050000000,آهن,شمالی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(مهدی خانیان-1401/10/24)  فروش نقد یا معاوضه با همکف قیمت پایین  با تسویه شهرداری  یک خواب سر پله  دو خواب پایین,6,320,320,buy,0,0,,,,,,,,,1,1,
321,1,0,234,خیابان شهدا,,,3,3730000000,آهن,جنوبی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(مهدی خانیان-1401/11/1)  بدون عکس و فیلم  با تسویه شهرداری  فروش نقدی و یا معاوضه با همکف تا 2 میلیارد,6,321,321,buy,0,0,,,,,,,,,1,1,
322,4,0,1000,نهضت آباد,,,,940000000,5000000000,شمالی,,,,,1,بدون کاغذ قیمت  بدون عکس و فیلم  5 دقیقه آب سد خمیران  دیوارکشی,6,322,322,buy,0,0,,,,,,,,,1,1,
324,1,0,167,خیابان 17 شهریور,,,2,2490000000,بتونی,شمالی,سنگ,سرامیک,MDF,1,1,با کاغذ قیمت(بهزاد سلیمانی-1401/10/21)  1/5 طبقه  50 درصد از تسویه شهرداری  آیفون تصویری-کمددیواری  هود و پکیج  پمپ و تانک - شیشه سکوریت  معاوضه با زمین تا 1  دو طبقه است ولی طبقه اول به فروش می رود و کل امتیازات و سند جداگانه است,6,324,324,buy,0,0,,,,,,,,,1,1,
325,1,0,91,بلوار بهارستان,,,2,2190000000,بتونی,شمالی,اجرنما,سرامیک,MDF,,1,با کاغذ قیمت(مهدی خانیان-1401/10/18)  با تسویه شهرداری  تانک و پمپ - فاضلاب شهری  کمد دیواری - کولر,6,325,325,buy,0,0,,,,,,,,,1,1,
326,1,0,149,خیابان ابوذر شمالی,,,2,3250000000,بتونی,جنوبی,اجرنما,سرامیک,فلز,,1,با کاغذ قیمت(مهدی خانیان-1401/5/15)  با تسویه حساب شهرداری  با پرده - دزدگیر  پروانه ساخت دو طبقه  معاوضه با همکف 3 خواب یا دوبلکس و 200 سر میدهد,6,326,326,buy,0,0,,,,,,,,,1,1,
327,2,0,21,شریعتی غربی,,,,696000000,,جنوبی,,,,,,با کاغذ قیمت(ابراهیم عبدالعظیمی-1401/5/10)  دو نبش  معرف اسدالله گچی  زمین تجاری,6,327,327,buy,0,0,,,,,,,,,1,1,
328,1,0,199,امیرآباد-آزادگان  خیابان عطار,,,3,3530000000,اسکلت,شمالی,سنگ,سرامیک,MDF,,1,با کاغذ قیمت(بهزاد سلیمانی-1401/10/4)  1/5 طبقه(دوبلکس)  با تسویه شهرداری  پکیج - هود - کمد  معاوضه با منزل در نجف آباد  دو خواب بالا  یک خواب پایین  ,6,328,328,buy,0,0,,,,,,,,,1,1,
329,5,0,21,خیابان امام غربی,,,,666000000,شیروانی سفال,شرقی,,,,,,با کاغذ قیمت(بهزاد سلیمانی-1401/10/4)  با تسویه تجاری  کابینت و لوله کشی و سرویس بهداشتی,6,329,329,buy,0,0,,,,,,,,,1,1,
330,5,0,28,خیابان امام غربی,,,,888000000,484500000,شمال شرقی,,,,,,با کاغذ قیمت(بهزاد سلیمانی-1401/10/4)  با تسویه تجاری  درب برقی - لوله کشی و سرویس بهداشتی,6,330,330,buy,0,0,,,,,,,,,1,1,
331,4,0,2038,فلکه دانشگاه,,,,6370000000,2100000000,شمالی,,,,,1,با کاغذ قیمت(مهدی خانیان-1401/10/10)  دیوارکشی گلی با درخت  45 دقیقه لوله کشی  معاوضه با منزل نوساز,6,331,331,buy,0,0,,,,,,,,,1,1,
332,2,0,219,بلوار بهارستان,,,,2960000000,3690720000,شمالی,,,,,,با کاغذ قیمت(مهدی پورنمازیان-1400/8/30)  معاوضه با منزل,6,332,332,buy,0,0,,,,,,,,,1,1,
333,1,0,338,خیابان شریعتی,,,2,3790000000,آهن,شمالی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(مهدی خانیان-1401/8/9)  فروش نقدی با تخفیف ویژه  یا معاوضه با منزل در حد 2 میلیارد  با تسویه شهرداری  بدون فیلم و عکس,6,333,333,buy,0,0,,,,,,,,,1,1,
334,2,0,219,خیابان محمد رسول الله,,,,1320000000,3084685500,شمالی,,,,,,با کاغذ قیمت(1400/12/20)  درب و دیوار 3 طرف بلوکی,6,334,334,buy,0,0,,,,,,,,,1,1,
335,4,0,700,جاده شرکت سابیر,,,,1130000000,4301432000,جنوبی,,,,,1,با کاغذ قیمت(مهدی خانیان-1401/8/22)  دیوار کشی 4 طرف  هر هفته 4 ساعت آب  بدون عکس و فیلم,6,335,335,buy,0,0,,,,,,,,,1,1,
336,4,0,4441,جاده فولادشهر,,,,8060000000,2000000000,شرقی,,,,,1,با کاغذ قیمت(ابراهیم پورنمازیان-1401/7/9)  هشت ساعت آب از چاه هادی  استخر - آبنما-کباب پز  حیاط سازی  با تسویه شهرداری  بدون فیلم و عکس,6,336,336,buy,0,0,,,,,,,,,1,1,
337,4,0,617,بلوار پرستار-خیابان  سایت-خیابان پولادچنگ-دو نبش جنوبی غربی,,,,2740000000,بتونی,جنوبی غربی,,,,,,با کاغذ قیمت(بهزاد سلیمانی-1401/9/26)  با تسویه شهرداری  لوله کشی فاضلاب  60 اصله درخت  جدول-آهن کشی و دیوار  8 دقیقه آب  بدون فیلم و عکس,6,337,337,buy,0,0,,,,,,,,,1,1,
338,1,0,241,خیابان منتظری شمالی,2,,1,3890000000,بتونی,جنوبی,اجر زبره,موزاییک,فلز,1,1,با کاغذ قیمت(مهدی پورنمازیان-1401/11/1)  طبقه دوم سفتکاری  فقط فروش  کولر - تانک و پمپ,6,338,338,buy,0,0,,,,,,,,,1,1,
339,1,0,233,خیابان محمد رسول الله,2,,4,3660000000,بتونی,جنوبی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(ابراهیم عبدالعظیمی - 1401/8/18)  دو خواب پایین  دو سوئیت بالا و هر سوئیت یک خواب  کولر - تانک و پمپ  کمد دیواری  فروش,6,339,339,buy,0,0,,,,,,,,,1,1,
340,1,0,138,بلوار حججی,2,,3,2780000000,بتونی,جنوبی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(ابراهیم عبدالعظیمی-1401/8/18)  بالابر-تانک و پمپ-کولر-فاضلاب-کمد دیواری  فروش نقدی  شماره تماس ازآقای نادی  یک خواب پایین  دو خواب بالا,6,340,340,buy,0,0,,,,,,,,,1,1,
341,1,1,,خیابان معرفت,,,3,1500000000,بتونی,شمالی,اجرنما,موزاییک,فلز,,1,با کاغذ قیمت(مهدی خانیان-1401/7/18)  با تسویه شهرداری  تانک و پمپ  سقف فلزی,6,341,341,buy,0,0,,,,,,,,,1,1,
342,1,0,148,خیابان شیخ بهایی جنوبی,,,3,2820000000,بتونی,شمالی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(مرتضی خانیان-1401/9/5)  1/5 طبقه  یک خواب پایین  دو خواب سرپله  با تسویه حساب شهرداری  پکیج - پرده - موکت - تانک و پمپ  فقط فروش,6,342,342,buy,0,0,,,,,,,,,1,1,
343,1,0,252,خیابان فرخی,,,,6700000000,نوساز,شمالی,سنگ,موزاییک,MDF,1,1,با کاغذ قیمت(مهدی خانیان-1401/11/3)  قیمت پیشنهادی صاحب منزل  ابعاد قناسی دارد  با تسویه حساب شهرداری  تانک و پمپ  کمد دیواری و کناف  کولر  دو خواب پایین  دو خواب بالا  ,6,343,343,buy,0,0,,,,,,,,,1,1,
344,2,0,200,خیابان شریعتی,,,,2100000000,6018260000,جنوبی,,,,,,بدون کاغذ قیمت,6,344,344,buy,0,0,,,,,,,,,1,1,
345,2,0,477,خیابان بوستان زندگی غربی,,,,3690000000,2624885000,جنوب شرقی,,,,,,با کاغذ قیمت(مهدی خانیان-1401/11/3)  26*18/50  پا امکانات  فروش نقدی بدون معاوضه  با تخفیف ویژه,6,345,345,buy,0,0,,,,,,,,,1,1,
346,1,0,309,خیابان منتظری جنوبی,2,,4,4190000000,آهن,جنوبی شمالی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(ابراهیم پورنمازیان-1401/11/5)  با تسویه شهرداری  فقط فروش  کاغذ قیمت(مهدی خانیان-1401/11/8 به مبلغ   3904000000)  فروش نقد,6,346,346,buy,0,0,,,,,,,,,1,1,
347,1,0,298,خیابان رضایی جنوبی,,,1,3080000000,آهن,شرقی,اجرنما,موزاییک, ,1,1,با کاغذ قیمت(ابراهیم پورنمازیان-1401/3/21)  مناسب برای تخریب  معاوضه با نوساز همکف,6,347,347,buy,0,0,,,,,,,,,1,1,
348,1,0,174,بلوار اسرافیلیان,2,,5,4300000000,بتونی,شمالی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(ابراهیم پورنمازیان-1401/5/11)  فقط فروش  سه کولر  سه خواب بالا  دو خواب پایین,6,348,348,buy,0,0,,,,,,,,,1,1,
349,1,0,76,خیابان دانش,2,,2,2000000000,نیمه اسکلت,شمالی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(مهدی خانیان-1401/9/22)  دو انباری  بدن فیلم و عکس  فقط فروش نقدی  هر طبقه 1 خواب,6,349,349,buy,0,0,,,,,,,,,1,1,
351,1,0,154,خیابان امام رضا,3,,,3230000000,بتونی,شمالی,اجر زبره,موزاییک,فلز,,1,با کاغذ قیمت(1401/6/9 ابراهیم پورنمازیان)  3 طبقه - طبقه وسط ساخته  مابقی سفتکاری  تانک و پمپ - بالابر  با تسویه حساب شهرداری  معاوضه با زمین تا 1500  یا فروش نقدی,6,351,351,buy,0,0,,,,,,,,,1,1,
352,2,0,920,ویلاشهر اول-خیابان آزادگان,,,,7130000000,4300000000,دونبش,,,,,, باکاغذ قیمت(محمدعلی کدخدایی-1401/11/23)  فقط فروش  مناسب برای ساختمان سازی,6,352,352,buy,0,0,,,,,,,,,1,1,
354,1,0,191,خیابان محمد رسول الله,,,3,3400000000,اسکلت,جنوبی,سنگ,سرامیک,MDF,1,1,با کاغذ قیمت(مهدی خانیان-1401/9/6)  دو طبقه همکف  یک خواب سرپله  با تسویه حساب شهرداری  معاوضه با همکف در محدوده سعدی-مجاهد-15 خرداد  یا فروش نقدی,6,354,354,buy,0,0,,,,,,,,,1,1,
355,1,0,302,بلوار فجر,2,,5,6070000000,آهن,جنوبی غربی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(ابراهیم پورنمازیان - 1401/10/19)  فروش نقدی یا معاوضه با همکف  با تسویه شهرداری  درب برقی -کولر-دزدگیر  موکت  یک خواب سرپله  سه خواب بالا  یک خواب پایین,6,355,355,buy,0,0,,,,,,,,,1,1,
356,1,0,172,بلوار فجر,2,,5,3650000000,بتونی,شمالی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(مهدی خانیان-1401/11/4)  با تسویه شهرداری  کولر - تانک و پمپ  یک خواب سرپله  دو خواب بالا  دو خواب پایین,6,356,356,buy,0,0,,,,,,,,,1,1,
357,1,0,193,بلوار بهارستان,2,,4,3680000000,بتونی,جنوبی,اجرنما,سرامیک,MDF,1,1,با کاغذ قیمت(مرتضی خانیان-1401/9/26)  بالا دو واحد و هر واحد یک خواب  پایین دو خواب  با تسویه شهرداری  پکیج-کولر-تانک و پمپ  کمد دیواری,6,357,357,buy,0,0,,,,,,,,,1,1,
358,1,0,896,خیابان امام غربی,,,,19900000000,آهن,جنوبی,اجرنما,موزاییک,,1,1,با کاغذ قیمت(مهدی خانیان-1401/10/10)  هواری  ترجیحا دو قسط از سه قسط نقدی و مابقی ملک با ارزش  بدون عکس و فیلم  فروش با زمین کوچه بوستان کد  359,6,358,358,buy,0,0,,,,,,,,,1,1,
360,1,0,163,خیابان مولوی شمالی,2,,,2830000000,سفت کاری شده,جنوبی,اجرنما,,,1,1,با کاغذ قیمت(1401/10/29مهدی خانیان)  با تسویه شهرداری  نیمه تمام-بدون فیلم و عکس  بن بست 10 متری,6,360,360,buy,0,0,,,,,,,,,1,1,
361,2,0,153,چهارباغ,,,,1200000000,4096850000,شمالی,,,,,,با کاغذ قیمت(ابراهیم پورنمازیان-1401/10/19)  با مجوز ساخت  فروش نقد یا معاوضه با منزل  و 500 سر میدهد  قیمت پیشنهادی,6,361,361,buy,0,0,,,,,,,,,1,1,
362,1,0,264,خیابان منتظری جنوبی,,,,3050000000,4924000000,شمال شرقی,,,,,1,با کاغذ قیمت(مهدی خانیان-1401/11/8)  فروش نقد یا معاوضه با زمین قابل ساخت  تانک 5000 لیتر  استخر-کناف-درخت  سرویس بهداشتی,6,362,362,buy,0,0,,,,,,,,,1,1,
363,2,0,382,بلوار ایزدی,,,,1530000000,6359990000,شمالی,,,,,,با کاغذ قیمت(مهدی خانیان-1401/11/8)  فروش نقدی  دو پلاک  21/30*6/30  21/60*11/5,6,363,363,buy,0,0,,,,,,,,,1,1,
365,4,0,904,بلوار الغدیر,,,2,2140000000,3700000000,غربی,,,,,1,با کاغذ قیمت(مهندس خانی-1401/11/2)  30 دقیقه آب کانال  30 دقیقه آب چاه  آب انبار-اشجار-سرویس بهداشتی-محوطه سازی  فروش نقد یا معاوضه با خانه تمیز,6,365,365,buy,0,0,,,,,,,,,1,1,
366,1,0,253,خیابان دانش,,,3,4500000000,آهن,شمالی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(ابراهیم پورنمازیان-1402/06/20  هواری 4500 تومان  شماره تماس از میثم جلالی,6,366,366,buy,0,0,,,,,,,,,1,1,
367,1,0,228,خیابان دانش,,,,3520000000,کلنگی,شمالی,,,,,1,با کاغذ قیمت(مهدی پورنمازیان-1401/11/8)  هواری  بدون عکس و فیلم  شماره تماس از طباطبایی,6,367,367,buy,0,0,,,,,,,,,1,1,
369,2,0,200,بلوار حجتی,,,,1500000000,7130000000,شمالی,,,,,,بدون کاغذ قیمت  پا امکانات  دارای تقسیم نامه,6,369,369,buy,0,0,,,,,,,,,1,1,
370,1,0,181,خیابان نوبهار,2,,4,5070000000,آهن,شمال غربی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(مهدی پورنمازیان-1401/4/8)  کولر-تانک و پمپ-پرده-هود و پکیج  فروش  بدون فیلم و عکس,6,370,370,buy,0,0,,,,,,,,,1,1,
371,1,0,195,خیابان دانش,,,3,3500000000,آهن,جنوبی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(ابراهیم پورنمازیان-1401/5/19)  بدون عکس و فیلم  با تسویه شهرداری و کولر  معاوضه با کلنگی در شمال شهر,6,371,371,buy,0,0,,,,,,,,,1,1,
372,1,0,141,خیابان 17 شهریور,3,,6,6020000000,بتونی,شمالی,اجرنما,سرامیک,فلز,,1,با کاغذ قیمت(مهدی پورنمازیان-1401/6/6)  طبقه همکف و اول یک خواب  طبقه دوم 3 خواب و یک بهار خواب  بدون عکس و فیلم  پرده - کمد - هود  متراژ زمین و ساخت مسکونی و تجاری با هم حساب شده  فقط طبقه وسط کابینت دارد  اولویت با فروش هر دو یا فقط مسکونی,6,372,372,buy,0,0,,,,,,,,,1,1,
373,1,0,196,خیابان سمندری,2,,3,4000000000,نیمه اسکلت,جنوبی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(مهدی خانیان-1402.6ہ)  بدون عکس و فیلم  با تسویه شهرداری  بن بست 6 متری  فروش نقدی  کولر و آلاچیق  یک خواب زیرزمین  دو خواب بالا معاوضه بازمین پاساخت,6,373,373,buy,0,0,,,,,,,,,1,1,
374,1,0,138,خیابان منتظری جنوبی,2,,3,2770000000,بتونی,شمالی,اجرنما,موزاییک,MDF,1,1,با کاغذ قیمت(ابراهیم پورنمازیان-1401/8/10)  با تسویه شهرداری  بدون فیلم و عکس  کولر - پمپ  پرده  دو خواب همکف  یک خواب طبقه اول  فروش نقدی,6,374,374,buy,0,0,,,,,,,,,1,1,
375,4,0,800,قلعه سفید,,,,2620000000,3050000000,شمالی,,,,,1,با کاغذ قیمت(مشاور املاک جمشیدیان-1401/8/12)  محوطه سازی-استخر-اشجار-نمارنگ آمیزی  روشنایی محوطه-مخزن آب  20 دقیقه آب چاه,6,375,375,buy,0,0,,,,,,,,,1,1,
376,2,0,2800,کمربندی جنوبی,,,,4200000000,1530400000,شمال جنوب غربی,,,,,,با کاغذ قیمت(مهدی خانیان-1401/10/24)  کوچه 6 متری  قابل معاوضه با منزل در همین قیمت یا کمتر و یا فروش نقد,6,376,376,buy,0,0,,,,,,,,,1,1,
377,1,2,,خیابان امیرکبیر,,,2,0,1932850000,جنوبی,سنگ,سرامیک,MDF,1,,پارکینگ موتور-ورودی مشترک-70 متر تراس  کف خواب  یک خواب کمد دیواری  شیک و تمیز  مختص عروس داماد یا با یک فرزند بزرگ,6,377,377,buy,0,0,,,,,,,,,1,1,
378,2,0,218,شریعتی غربی,,,,2290000000,3523820000,جنوبی,,,,,,با کاغذ قیمت(ابراهیم عبدالعظیمی-1401/11/1)  تخفیف تا 150 میلیون  معاوضه با منزل نوساز تا 4500 در منتظری شمالی و معرفت,6,378,378,buy,0,0,,,,,,,,,1,1,
379,2,0,42,خیابان محمد رسول الله,,,,1280000000,1207050000,غربی,,,,,,با کاغذ قیمت(مهدی خانیان-1401/11/5)  ,6,379,379,buy,0,0,,,,,,,,,1,1,
380,1,0,240,خیابان محمد رسول الله,2,,3,3070000000,آهن,جنوبی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(مهدی خانیان-1401/11/3)  معاوضه با دو طبقه در حد 3600  با تسویه شهرداری  2 اتاق سرپله  1 خواب طبقه بالا  یک سوئیت پایین,6,380,380,buy,0,0,,,,,,,,,1,1,
381,6,0,,شهرک بهاران,,,2,937000000,آهن,جنوبی,اجرنما,موزاییک,فلز,1,,با کاغذ قیمت(املاک عدالت-1401/11/9)  طبقه همکف  کولر-پرده-کمد دیواری  بدون فیلم و عکس  فروش,6,381,381,buy,0,0,,,,,,,,,1,1,
382,1,0,146,خیابان منتظری شمالی,2,,2,4000000000,بتونی,جنوبی,اجرنما,موزاییک,MDF,1,,بدون کاغذ قیمت  بالا یک سوئیت  پایین دو خواب,6,382,382,buy,0,0,,,,,,,,,1,1,
383,5,0,60,خیابان شیخ بهایی جنوبی,,,,3740000000,4000000000,غربی,,,,,1,با کاغذ قیمت(ابراهیم پورنمازیان-1401/9/23)  با زیرزمین  معاوضه با همکف یا دوطبقه تمیز برای عروس داماد ترجیحا شمال شهر  با تسویه شهرداری,6,383,383,buy,0,0,,,,,,,,,1,1,
384,1,0,313,خیابان منتظری شمالی,2,,4,4300000000,آهن,شرقی,اجرنما,موزاییک,فلز,,1,با کاغذ قیمت(ابراهیم عبدالعظیمی-1401/3/7)  قیمت پیشنهادی فروشنده  بدون عقب نشینی  فروش فقط نقدی  بدون فیلم و عکس,6,384,384,buy,0,0,,,,,,,,,1,1,
388,1,0,112,خیابان شهدا,,,1,2350000000,بتونی,جنوبی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(ابراهیم پورنمازیان-1401/10/18)  با تسویه شهرداری  معاوضه با منزل در محدوده شمال شهر-شیخ بهایی جنوبی-منتظری جنوبی تا همین قیمت  کولر - منبع آب,6,388,388,buy,0,0,,,,,,,,,1,1,
389,1,0,147,خیابان منتظری شمالی,2,,4,4600000000,سفت کاری شده,شمالی جنوبی, ,,,1,1,با کاغذ قیمت(مهدی پورنمازیان-1401/10/28)  درب ریلی-2 عدد چاه - دیوار چینی پشت بام-ایزوگام شده  لوله کشی فاضلاب-درب برقی پارکینگبا تسویه شهرداری  معاوضه با زمین قابل ساخت تا 2500 یا اهن آجر یا کلنگی  نقدی با تخفیف,6,389,389,buy,0,0,,,,,,,,,1,1,
390,2,0,420,خیابان امام رضا,,,,1220000000,4000000000,جنوبی,,,,,,با کاغذ قیمت(مهدی خانیان-1401/3/9)  شمال و جنوب درب دارد  بدون آب  فروش نقدی,6,390,390,buy,0,0,,,,,,,,,1,1,
392,4,0,105,کمربندی جنوبی,,,,359000000,,شمال شرقی,,,,,1,با کاغذ قیمت(1401/12/2 - بهزاد سلیمانی)  3 دقیقه آب  51 اصله درخت  شماره تماس از میثم جلالی  بدون فیلم و عکس,6,392,392,buy,0,0,,,,,,,,,1,1,
